periodo,valor,codigo,url_origen,fecha_descarga,hash_respuesta,indicador
Ene.2020,3.32776363636364,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Feb.2020,3.39138,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Mar.2020,3.49255454545455,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Abr.2020,3.39842,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
May.2020,3.42185,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jun.2020,3.47109523809524,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Jul.2020,3.51734090909091,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ago.2020,3.56454761904762,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Sep.2020,3.55575909090909,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Oct.2020,3.59613636363636,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Nov.2020,3.60871904761905,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Dic.2020,3.60324285714286,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
